"ID","CAT","COMPANY_NAME","EMAIL","ADDRESS","CITY","STATE","ZIPCODE","PHONE_NUMBER","FAX_NUMBER","SIC_CODE","SIC_DESCRIPTION","WEB_ADDRESS"
"231242","F","First Class Products","info@firstclassproducts.com","1868 Altamont Ave","Schenectady","NY","12303-3837","5183557566","5183557566","275902","Screen Printing","www.firstclassproducts.com"
"231243","R","Ramsey Beirne Associates; LLC","kriley@mdionline.com","500 Executive Blvd","OSSINING","NY","10562","9147475300","9147475406","861102","Associations","WAWBO.COM"
"231244","H","HalKnopfRealty","kenfoto@optonline.net","2800LongBeachRd","Oceanside","NY","11572","5165945621","null","653118","Real Estate","KENBANKPHOTO.COM"
"231245","O","Our Lady Of Refuge Rectory","william.m.maloney@graf.eur.army.mil","290 E 196th St","Bronx","NY","10458-3506","7183674690","7183674690","866107","Churches","www.ourladyofrefuge.com"
"231246","R","Russo Securities","conway6499@mail.com","128 Sand Lane","STATEN ISLAND","NY","10305","7187208236","null","738111","Consultants","YES2CHOCOLATE.COM"
"231247","C","Cozy Corner","Max@cozycornersewing.com","190 Glen Cove Ave","Glen Cove","NY","11542-4115","NULL","5166769651","581208","Restaurants","NULL"
"231248","S","Storm Trysail Club Inc","stormtry@aol.com","1 Woodbine Ave","Larchmont","NY","10538-3747","9148346484","9148348857","864108","Clubs","www.stormtrysail.org"
"231249","W","Winick Realty Group","rick@winick.com","655 3rd Ave # 8","New York","NY","10017-5617","2127922660","2127922600","653118","Real Estate","www.winick.com"
"231250","K","Kirchmeyer &Amp; Associates","longbraid@frontiernet.net","945 East Henrietta Road","Rochester","NY","14623","5854246620","-","522310","BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY, AND MOBILE HOME DEALERS","NAMB"
"231251","K","Kensico Cemetery","kensico@kensico.org","273 Lakeview Ave","Valhalla","NY","10595-1617","9149490347","9149490347","655302","Cemeteries","www.kensico.org"
"231252","W","W & M Properties Inc","tdurels@wmproperties.com","60 E 42nd St # 26","New York","NY","10165-2699","2033535204","2129530888","653118","Real Estate","www.wmproperties.com"
"231253","H","Hotel Assn Of NYC Inc","lllach@helmsleyhotel.com","320 Park Ave","New York","NY","10022-6815","2127540243","2127546700","861102","Associations","www.hanyc.org"
"231254","M","Myron I Blumenfeld & Associates","sales@meritsoftware.com","290 Third Avenue PHC","NEW YORK","NY","10010","2126758567","2126758607","861102","Associations","englishgrammarconnection.com"
"231255","D","Debs Farmstead","debsaniques@clarityconnect.com","138 Fred Catlin Road","OWEGO","NY","13827","null","null","019101","FARMS","DEBSFARMSTEAD.COM"
"231256","P","Planet Blue Communications","bahram@pbc.com","53 W 130 Floor 1","NEW YORK","NY","10020","2128329461","2127020176","489903","Communications","erotic-shop.com"
"231257","c","cathy cornelius","ccornelius@stny.rr.com","2305 Richmond Road","ENDICOTT","NY","13760","6077483730","6077486227","571305","Carpet & Rug Dealers","PHILSCHICKENHOUSE.COM^^SKATEESTATE.COM^^SWEETCHEEK.NET^^TIERVILLAGE.COM^^WAREHOUSECARPETOUTLETS.COM^"
"231258","T","Title Pro","EricWhittaker@go-titlepro.com","1252 Washington St # A","Peekskill","NY","10566-5818","NULL","9146453692","174301","Tile-Ceramic-Contractors & Dealers","NULL"
"231259","G","GILES ANTIQUES","gilesantiques@aol.com","287 Main Street","NEW HYDE PARK","NY","11044","5168831104","null","593202","Antiques","GILESANTIQUES.COM"
"231260","M","Marcom Management Group","info@marcomusa.com","50 Telco Rd","Rochester","NY","14623-3514","5854241700","5854241700","731101","Advertising-Agencies & Counselors","www.marcomusa.com"
"231261","H","HydeRealty","zodiaccharting@yahoo.com","277MainSt","Port Washington","NY","11050","7187124904","7187128503","653118","Real Estate","zodiaccharting.com"
"231262","R","Rockville Recovery Associates LTD","bfj2708@aol.com","189 Sunrise Highway - 2","POINT LOOKOUT","NY","11569","5167634353","5167631232","861102","Associations","ROCKVILLERECOVERY.COM"
"231263","k","klepar;zvi","klepareric@aol.com","146 east 98th st","NEW YORK","NY","10028","2124273079","null","571305","Carpet & Rug Dealers","MANHATTANCARPET.COM^^MANHATTANCARPETS.COM^^MOVERSZAGAT.COM^^"
"231264","M","Maples Farm","joe@maplesfarm.com","749 Route 17m","Middletown","NY","10940-6764","8453440010","8453440330","526104","Garden Centers","www.maplesfarm.com"
"231265","M","Metaphysical Books & Tools","lindsey@metaphysicalbooks.net","PO Box 2695","SAG HARBOR","NY","11963","null","5167282240","594201","Book Dealers","METAPHYSICALBOOKS.NET"
"231266","D","Dunn Tire Corp","ppittner@dunntire.com","3300 W Henrietta Rd","Rochester","NY","14623-3531","7168370001","5852720180","553123","Tire-Dealers-Retail","www.dunntire.com"
"231267","M","MCCRACKEN","djmproductions@aol.com","457 West 57th Street","NEW YORK","NY","10018","null","null","738999","Business Services Nec","DIONYSUSTHEATER.BIZ^^NOBIZ-LIKESHOW.BIZ"
"231268","N","Network Internet Services","kperry59@aol.com","POBox 426","COLD SPRING HARBOR","NY","11724","null","null","737415","Internet Service","charit-e-journal.com"
"231269","R","Red Hook Town Supervisor","nroberts@redhook.org","7340 S Broadway","Red Hook","NY","12571-1735","8457585313","8457584600","912104","Government Offices-City, Village & Twp","Village & Twp"
"231270","A","Alexei Melnitchenko","zdxj47a@aol.com","1426 East 104 Street - Brooklyn","BROOKLYN","NY","11236","7188979376","7184590446","8999","Services NEC","regoservices.com"
"231271","I","Intercontinental Greetings LTD","lhgovar@prodigy.net.mx","176 Madison Ave # 5","New York","NY","10016-5128","2127798564","2126835830","511202","Greeting Cards-Wholesale","www.intercontinental-ltd.com"
"231272","R","Real Estate Empire Group Inc","jmarrbrof@aol.com","56 W Main St","FEURA BUSH","NY","12067","5188277761","null","641112","Insurance","HOTJUICYGOSSIP.COM"
"231273","J","Juliet Nuzzo","jewels243@aol.com","625 Main Street Apt 726  New York","NEW YORK","NY","11795","6313219818","null","573609","Music Dealers","JULIETSMUSIC.COM"
"231274","C","Coral House Caterers","todd@glengroup.com","70 Milburn Ave","Baldwin","NY","11510-3395","5162236888","5162236500","599940","Wedding Supplies & Services","www.coralhouse.com"
"231275","C","Confrontation Promotions Ltd","cosmo_interiors@hotmail.com^^info@maritimedirect.com","415 Madison Avenue","NEW YORK","NY","10016","null","2126848146","738951","Promotions & Fund Raising","vanderbiltantiques.com"
"231276","B","Brain Wave","webmaster@brainwavetoys.com","36 E 12th St","New York","NY","10003-4604","2126774346","2126773136","999977","Nonclassified Establishments","www.brainwavetoys.com"
"231277","C","Coldwell Banker Prime Prop","fdelardi@cbpp.com","73TroyRd","East Greenbush","NY","12061","5184771000","null","653118","Real Estate","null"
"231278","D","DIANE Studio","marilinda@rcn.com","1225 Park Avenue","NEW YORK","NY","10126","2127356583","2127356982","738947","Recording Studios","MARILINDA.COM"
"231279","H","Houlihan/Lawrence Inc.","donnaoc@aol.com","104 Village Square; Town Centre at Somers","Somers","NY","10589","9142778040","null","6531","Real Estate","null"
"231280","G","Gauthier Law Firm","G_Gary G@garygauthier.com","15 Fletcher Ave # 7","Valley Stream","NY","11580-4000","NULL","5168230800","811103","Attorneys","NULL"
"231281","d","dwindle","snack@uswest.net","6010 W. Belmont Avenue","BROOKLYN","NY","11217","7189578318","null","9999","Unclassified","DWINDLEBAND.COM"
"231282","F","Fisher Enterprises LLC","fisherenterprises@aol.com","407WoodbineAvenue","NEW YORK","NY","10025","2126628802","null","9999","Unclassified","FISHERENTERPRISESLLC.COM"
"231283","R","Robert Adler","aceladb@yahoo.com","18 Park Ave","Monsey","NY","10952","8453712464","null","6531","Real Estate","null"
"231284","T","Taylor Warner Corp","mdrawert@mlslirealtor.com","101 7th St","Garden City","NY","11530","5167414422","null","6531","Real Estate","null"
"231285","D","Digimedia Corporation","clawson@pipeline.com","375 South End Ave. Suite 17A","NEW YORK","NY","10280","2124882136","2124882136","7319","Media services","DIGIMEDIACORP.COM"
"231286","A","Approved Home Mortgages","W.Goodman@ahm.net","14 Wedgewood Dr","Dix Hills","NY","11746-5825","NULL","6314995728","614102","Financing","NULL"
"231287","I","Inwood House","sross@inwoodhouse.com","369 E 148th St","Bronx","NY","10455-4041","2125353775","7187428092","832203","Family Planning Information Centers","www.inwoodhouse.com"
"231288","N","New Look Properties; LLC","newlookproperty@aol.com","40 Cheryl Ct","Troy","NY","12180","5182710821","null","6531","Real Estate","null"
"231289","P","Pardee's Agency Inc","msalmi@pardeesinsurance.com","306 Wall St","Kingston","NY","12401-3820","8453315805","8453315805","641112","Insurance","www.pardeesinsurance.com"
"231290","A","Advantage Building Inspections","advantagebldg2@aol.com","Charley Hill Rd","Schroon Lake","NY","12870 0000","5185320640","5185320640","653122","Real Estate Inspection","www.advantagebuilding.com"
"231291","A","Apria Healthcare","buzz@ajc.com","75 Market St","Potsdam","NY","13676-1857","4797705041","3152651161","504712","Hospital Equipment & Supplies (Whol)","www.apria.com"
"231292","G","Gentiva Health Svc","specialties@gentiva.com","419 E Main St # 102","Middletown","NY","10940-2552","3045291655","8456923288","808201","Home Health Service","www.gentiva.com"
"231293","M","Murtha Construction","mjmurta1@aol.com","19 Independence Ave","BABYLON","NY","11702","null","null","152103","General Contractors","MURTHACONSTRUCTION.COM"
"231294","S","Skyline Cover LLC","skylinecamo@aol.com","3984 Burke Pkwy","Buffalo","NY","14219-2912","7166460494","7166492312","565101","Clothing-Retail","www.skylinecamo.com"
"231295","H","Hitachi Software","W.Ted@miraibio.com","1775 Broadway # 609","New York","NY","10019-1903","2122658001","2122658000","737103","Computers-System Designers & Consultants","NULL"
"231296","s","sabyrodriguez","soleinc@aol.com","6812 18th ave","BROOKLYN","NY","11203","7186211103","7186213206","737505","Online Services","AEA123.COM^^ARGUSGRAPHICS.COM^^POTERY.NET"
"231297","L","Landon Music Company","louland@aol.com","11 John ST suite 804","NEW YORK","NY","12784","9144347267","null","573609","Music Dealers","landonmusic.com"
"231298","K","K. Collins Photography","kathc@juno.com","272 Sixth Avenue","BROOKLYN","NY","11215","7187888382","7187887346","7221","Photography","KCOLLINSPHOTOGRAPHY.COM"
"231299","D","Dept Of Research & Nego Libr","pepeditor@dc37.net","125 Barclay St # 540","New York","NY","10007-2233","2128151402","2128151470","823111","Special Interest Libraries","www.dc37.net"
"231300","T","Telrad Networks","glennr@lighthausdesign.com","135 Crossways Park Drive","WEST SAYVILLE","NY","11796","5167860108","5163908955","737904","Computers","NYAIRCAM.COM"
"231301","T","The Westminster Kennel Club","wkc@wkcnyc.com","360 Lexington Avenue 8th Floor","NEW YORK","NY","10015","null","null","864108","Clubs","WKCNYC.COM"
"231302","R","Ramirez Realty Inc","npkbenal@yahoo.com","101 Front St","Hempstead","NY","11550","5165058040","null","6531","Real Estate","laffey.net"
"231303","C","Century 21 Benjamin Associates","whutch4@aol.com","612 Jericho Tpke","Huntington Station","NY","11746","6314271800","null","6531","Real Estate","null"
"231304","N","New York Tent Corp","info@nytent.com","19 Dorothy St","Nesconset","NY","11767-1818","6319799182","6319799182","594109","Tents-Retail","www.nytent.com"
"231305","E","ESCA; ALEXANDER","aesca@montran.com","623 James Street","NEW ROCHELLE","NY","10802","2126845214","null","8999","Services NEC","IBCONSULTANTS.COM"
"231306","C","Complete Traveller Bookstore","info@ctrarebooks.com","199 Madison Ave","New York","NY","10016-4305","2126859007","2126859007","594201","Book Dealers-Retail","www.completetravellerbooks.com"
"231307","J","JMC La Femina Beauty Salons Inc.","cyaris@lemontree.com","3301 Hempsted Turnpike","LEVITTOWN","NY","11756","5167352828","null","723106","Beauty Salons","lemontree.com"
"231308","C","Cb/Currier &Amp; Lazier","khalilah@frontiernet.net","367-371 East Main St","Middletown","NY","10940","8453425766512","-","522310","BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY, AND MOBILE HOME DEALERS","NAMB"
"231309","P","Perkins Eastman Architects","e-goytia@peapc.com","115 5th Avenue","NEW YORK","NY","10003","null","null","871298","Architectural Services","ASSISTEDLIVINGDESIGN.COM^^DEMENTIAARCHITECTS.COM^^DEMENTIAARCHITECTURE.COM"
"231310","F","Future Media Concepts Inc","michaels@fmctraining.com","299 Broadway # 1510","New York","NY","10007-2066","2122333500","2122333500","821103","Schools","www.fmctraining.com"
"231311","S","Steele O'day","fivepointstudios@hotmail.com","30 Linwood - Buffalo","BUFFALO","NY","14220","7166356200","null","738999","Business Services Nec","FIVEPOINTSTUDIOS.COM"
"231312","W","Williams Jones & Assoc Inc","reliseo@williamsjones.com","717 5th Ave # 2400","New York","NY","10022-8101","2129358208","2129358750","628203","Financial Advisory Services","www.williamsjones.com"
"231313","C","Century 21 Mulvey Real Estate","gianglisa@aol.com","1952 Commerce St","Yorktown Heights","NY","10598","9149621121","null","6531","Real Estate","null"
"231314","C","Chiyoga","shoplisa@stny.lrun.com","115 hill ave","ENDICOTT","NY","13760","6077486245","6077486245","799949","Yoga Instruction","CHIYOGA.COM"
"231315","T","Tony Stone By Getty Images","copyright@gettyimages.com","75 Varick St","New York","NY","10013-1917","2064419379","6466133900","738406","Photographs-Stock","www.gettyimages.com"
"231316","R","RE/MAX Finest","jtestaiuti@aol.com","61 W Main St","Smithtown","NY","11787","6317249800","null","6531","Real Estate","smithtownrealty.com"
"231317","M","Milky Forst; REALTOR","rivki2003@yahoo.com","566 Oak Dr","Far Rockaway","NY","11691","5162390306","null","6531","Real Estate","null"
"231318","H","HYDRAWEB TECHNOLOGIES; INC","sr75@optonline.net","75 East Loop Road Suite 105","STONY BROOK","NY","11790","6316323080","null","8999","Services NEC","HYDRAWEB.NET"
"231319","H","Harlem Children''s Zone","knailor@hcz.org","157 W 122nd St","New York","NY","10027-5502","2128649381","2126664163","869903","Organizations","www.hcz.org"
"231320","K","Kate''s Paperie","JoeB@katespaperie.com","561 Broadway","New York","NY","10012-3918","2129419560","2129419816","594305","Stationers-Retail","NULL"
"231321","S","Sadowsky Guitars","sales@bassgeardirect.com.au","20 Jay St # 5c","Brooklyn","NY","11201-8324","7184221125","7184221123","769969","Musical Instruments-Repairing","www.sadowsky.com"
"231322","J","J.P. Morgan Co.","stillmanz@aol.com","Tom Croft 60 Wall Street","NEW YORK","NY","10260","2122338817","null","679998","Venture Capital Companies","lavellefund.org"
"231323","F","Freedom From Fear","info@wfmh.com","308 Seaview Ave","Staten Island","NY","10305-2246","7186678893","7183511717","839998","Non-Profit Organizations","www.freedomfromfear.org"
"231324","C","Cruise Fantasies","info@cruisefantasies.com","570 Ridge Road","Elmsford","NY","10523","9143459595","9143459696","472406","Cruises","cruisefantasies.com"
"231325","C","CJG Consulting","cgianni@mediaone.net","1st Second Street","SCHENECTADY","NY","12345","9789755448","null","7319","Media services","successisrevenge.com"
"231326","C","Chemung Justice Court","grsuperv@hotmail.com","788 Rotary Road Ext","Chemung","NY","14825-9731","6075293322","6075293322","921104","City Government-Courts","www.townofchemung.com"
"231327","C","Columbia International Affairs","commencement@columbia.edu","420 W 118th St","New York","NY","10027-7296","2128549509","2128545406","822101","Schools-Universities & Colleges Academic","www.columbia.edu"
"231328","M","Manhattanmaids.Com","sarai@aol.com","13736BetaRd","NEWYORK","NY","10015","8002156243","7185905746","9999","Unclassified","MANHATTANMAIDS.COM"
"231329","B","Black 5 entertainment","wadeinni@hotmail.com","25 W.120th St","NEW YORK","NY","10026","9732238409","null","792217","Entertainment Producers","BLACK5ENTERTAINMENT.COM"
"231330","H","Holy Trinity RC Church","lsteichen@holytrinityparish.org","1451 143rd St","Flushing","NY","11357-2398","5306773570","7187467730","866107","Churches","www.holytrinityparish.org"
"231331","F","F N Scholtz Elementary School","kstaie@spartanpride.org","6 Institute St","Adams","NY","13605-1115","3155836381","3152324841","821103","Schools","www.spartanpride.org"
"231332","M","Merritt Bookstore Vol II","scot@merrittbooks.com","7496 S Broadway","Millbrook","NY","12545","null","8457946061","594201","Book Dealers","merrittbooks.com"
"231333","F","FISHER WILLIAM","roy@popmail.med.nyu.edu","p o box 65","ELMHURST","NY","11373","7188853246","null","593202","Antiques","EBYRA.ORG"
"231334","O","Our Lady Of Lourdes School","info@ollschool.org","44 Toomey Rd","West Islip","NY","11795-1399","6315874531","6315877200","821103","Schools","www.ollschool.org"
"231335","M","Mahoney Insurance Agency","rburen@buffnet.net","POBox1514","FORTMILL","NY","14302","7162834466","null","641198","Insurance Agents Brokers & Service","RBUREN.NET^^RBUREN.ORG^^URENEQUIPMENT.COM^^URENEQUIPMENTRENTAL.COM"
"231336","C","CATHOLIC FOREIGN MISSION SOCIETY OF AM","mwillmer@maryknoll.org","Inc. Consultant GraphoanalysisQuestioned Documents","MASPETH","NY","10545","9149417590","null","866107","Churches","MAPMIGRANT.ORG"
"231337","C","Cravath Swaine & Moore","dmcatee@cravath.com","825 8th Ave","New York","NY","10019-7475","2123070771","2123070771","811103","Attorneys","www.cravath.com"
"231338","G","Greatest Nameless Band","jbesser@si.rr.com","2182 Clove Road","STATEN ISLAND","NY","10305","7189826739","null","792901","Orchestras & Bands","GNBAND.COM"
"231339","P","Prudential L I Realty","mbattista1@mlslirealtor.com","21545 Northern Blvd","Bayside","NY","11361-3499","7186318900","null","6531","Real Estate","null"
"231340","G","Goofy-Gifts.com","lmarzocco2@mlslirealtor.com","45 Willow Avenue","HOLTSVILLE","NY","11742","null","null","594712","Gift Shops","null"
"231341","W","Wild Child Designs","wildchildesigns@hotmail.com","84 Risa Ct","HICKSVILLE","NY","11855","4019328069","null","8999","Services NEC","MIKEEWANITSKO.COM"
"231342","M","Main Mobility Inc","info@mainmobility.com","9580 Main St","Clarence","NY","14031-2002","7167596812","7167596811","753208","Van & Truck Conversions & Accessories","www.mainmobility.com"
"231343","L","Linens ''n Things","corpjobs@lnt.com","1746 Walden Ave","Cheektowaga","NY","14225-4925","4808120001","7168937576","571925","Linens-Retail","www.lnt.com"
"231344","C","Carter-McIntosh Enterprises","albenda@aol.com","4901 Seminary Rd.  1213","BAYPORT","NY","11705","5165867563","null","9999","Unclassified","dominicanhairstylist.com"
"231345","E","Environmental Studies High Sch","mburgos5@nycboe.net","444 W 56th St","New York","NY","10019-3602","2122620702","2122628113","821103","Schools","www.envirostudies.org"
"231346","V","Vehicle Tracking Solutions","jmcjr@vtsn.com","344 W 8th St","Deer Park","NY","11729-6527","6316670543","6316675345","381214","Gps Navigation Systems & Services","www.vtsn.com"
"231347","q","quny business computer","sonaki2000@earthlink.net","36-09 Main Street","FLUSHING","NY","11352","7184605228","null","573407","Computer & Equipment Dealers","sonaki.com"
"231348","Z","Zurilieno Art Studio - Shannon O'Neil","zurilieno@aol.com","279 Pleasant Avenue - #3-N","NEW YORK","NY","10028","2128762813","2124235787","841210","Art","ZURILIENO.COM"
"231349","M","Martino Charles J.","movingsi@aol.com","7448 Amboy Road","Staten Island","NY","10307","7186089400","-","6531","Real Estate","NAMB"
"231350","A","Alcoholics Anonymous World Services; Inc","sturchyn@compuserve.com","475 Riverside Drive","NEW YORK","NY","10115","2128703400","2128703003","8999","Services NEC","AA-2005.COM^^AA-2005.ORG^^AA-2010.COM^^AA-2010.NET^^AA-2010.ORG^^AA2005.COM^^AA2005.ORG^^AA2010.COM^"
"231351","P","Parallel Capital Corporation","rob@parallelcapital.com","Westchester Financial Center  White Plains","WHITE PLAINS","NY","10605","91519","null","175299","Floor Laying Contractor","PARALLELCAPITAL.COM"
"231352","B","Bill Nojey","wnojay@itx.net","40 Hytec Circle","ROCHESTER","NY","14603","7162954446","7163255458","175299","Floor Laying Contractor","leadership-america.org"
"231353","P","Press Republican Inc","feedback@pressrepublican.com","170 Margaret St","Plattsburgh","NY","12901-1899","5185613362","5185612300","271101","Newspapers (Publishers)","www.pressrepublican.com"
"231354","a","alphapuck designs","rntc@yahoo.com","139 fulton st210","NEW YORK","NY","10038","null","null","7389","Business Services NEC","GOTFUIT.COM^^GOTFUITS.COM^^HOMEVISONS.COM^^PAYLSSS.COM^^QVCFAN.COM^^QVCFANCLUB.COM^^QVCFANS.COM"
"231355","H","Howard Associates","B-Howard@howardrenderings.com","4250 Veterans Memorial Hwy","Holbrook","NY","11741-4000","NULL","6315881667","653116","Real Estate Appraisers","NULL"
"231356","K","Kolstad Associates Inc","mike@kolstadassociates.com","410 Atlantic Ave","Rochester","NY","14609-7352","9145766483","5852882080","509908","Manufacturers-Agents & Representatives","www.powers.com"
"231357","A","Art One Photography","gorealestate@erols.com","1060 Lydig ave","BRONX","NY","10461","7188638778","null","733511","Photographic Engineering","GOREALESTATEINC.COM"
"231358","P","Prevete Real Estate","abishen@aol.com","255 W Old Country Rd","Hicksville","NY","11801-4014","5165205738","5169370777","653118","Real Estate","www.century21prevete.com"
"231359","W","Webbwind","dgarcia@prepaidlegal.com","556 Bristol Street Apt1F","BROOKLYN","NY","11212","9176863481","null","737415","Internet Service","stopdamadness.com"
"231360","b","boiled jar music","bmcwhorter@earthlink.net","616 west 207th apt 3H","NEW YORK","NY","10033","2125440178","null","5736","Music dealers","AFTERQUARTET.COM"
"231361","E","ERA/Premiere Homes Realty Corp","gmartinez1@mlslirealtor.com","8722 Lefferts Blvd","Richmond Hill","NY","11418","7188468200","null","6531","Real Estate","premierehomesrealty.com"
"231362","C","CENTURY 21 Gold Standard","sophie210@adelphia.net","164 Quaker Road","East Aurora","NY","14052","7166520232","null","6531","Real Estate","null"
"231363","T","Thinking Associates","thinkingassoc@yahoo.com","PMB # 308 19 Hanover Place","WYANDANCH","NY","11798","8007950571","null","861102","Associations","snackbar.com"
"231364","O","Ottodesign&Construction","michaelw.murray@usa.net","651Broadway Apt#3","TILLSON","NY","12486","8453310584","8453387534","152130","Construction","MICHAELWMURRAY.COM;MICHAELWMURRAY.NET"
"231365","A","Anderson Group","agroup@p.com.net","1849LitchfieldAve","GETZVILLE","NY","14068","7166397671","7166397671","9999","Unclassified","RALPHANDERSON.COM^^RALPHANDERSON.ORG"
"231366","E","Ecm Office Equipment","info@motorola2wayradios.com","12 West Mall","Plainview","NY","11803-4210","5166949477","5166946000","599908","Typewriters","www.radioboss.com"
"231367","S","Smartway Services","mstlaurent@yahoo.com","28 Walnut Street","CENTERPORT","NY","11721","6313487868","6312346256","8999","Services NEC","smartwaysys.com"
"231368","C","Calvary Chapel Of Syracuse","office@chapelchelmsford.com","103 Grampian Rd","Liverpool","NY","13090-3505","5624971154","3154511556","866107","Churches","www.calvarychapel.org"
"231369","C","Cambridge Floral","cambridgeflorals@aol.com","1318 2nd avenue","NEW YORK","NY","10020","2123273989","2123274985","599202","Plants","CAMBRIDGEFLORAL.COM^^CAMBRIDGEFLORAL.NET"
"231370","B","Bon Anno Realty","bpantino@aol.com","1068 N Broadway","Massapequa","NY","11758","5164209055","null","6531","Real Estate","bonannorealty.com/bpantino.htm"
"231371","H","Hawthorne Valley School","hvsdev@taconic.net","330 County Route 21c # C","Ghent","NY","12075-1926","5186720181","5186727092","821103","Schools","www.hawthornevalleyschool.org"
"231372","B","Baxter & Smith PC","wboltrek@baxterandsmith.com","125 Jericho Tpke # 302","Jericho","NY","11753-1016","5169977330","5169977330","811103","Attorneys","www.baxterandsmith.com"
"231373","O","Oregon Middle School","kanderson@pmschools.org","109 Oregon Ave","Medford","NY","11763-3799","6317581083","6317581100","821103","Schools","www.pat-med.k12.ny.us"
"231374","I","International Women Health","communications@iwhc.org","24 E 21st St # 5","New York","NY","10010-7230","2129799009","2129798500","809913","Medical & Surgical Svc Organizations","www.iwhc.org"
"231375","R","Realty USA","relo@realtyusa.com","361 Delaware Ave # 101","Buffalo","NY","14202-1609","7164346289","7168567107","653118","Real Estate","www.realtyusa.com"
"231376","W","Webb;Marcia","monstermanagement@excite.com","320 w37st studio 10B","NEW YORK","NY","10018","2127697772","null","8999","Services NEC","INTOTHEUNKNOWING.COM"
"231377","B","Best Mark Realty","bestmarkrealty@aol.com","9 Sunrise Dr","Monsey","NY","10952-3306","8454263100","null","6531","Real Estate","null"
"231378","O","O Connor Kershaw Inc","vmdoughery@verizon.net","241 Wall Street","Kingston","NY","12401","8453387100","-","6531","Real Estate","NAMB"
"231379","C","Chicken Au Go Go","Mandel.Eric@chickenaugogo.com","5364 Merrick Rd","Massapequa","NY","11758-6210","NULL","5167978300","581206","Foods-Carry Out","NULL"
"231380","P","Parsons Corp","lifesciences@parsons.com","180 Lawrence Bell Dr # 104","Williamsville","NY","14221-7888","9164833364","7166337074","871106","Engineers","www.parsons.com"
"231381","B","Business Technology Partners; Inc","jcane@btp.net","111 Broadway - 18th Floor","NEW YORK","NY","10005","null","null","8999","Services NEC","ANGRYLOBSTER.NET^^BTPENABLE.NET^^FOLLOWERSTHEMOVIE.COM^^ITCENTRIC.NET^^PROJECTENABLE.COM^^PROJECTENA"
"231382","G","General Board Of Global","mikemessick@columbus.rr.com","20 Prospect St","Ballston Spa","NY","12020-1367","2025484002","5188848456","866107","Churches","www.gbgm-umc.org"
"231383","I","Infinity Electronics","jwersan@li.net","149 Montrose Drive","PORT JEFFERSON STATION","NY","11776","6319289137","null","737902","Computer Related Services Special Warehouse/storage","WERSAN.COM"
"231384","S","St. Eugenes Church","steugene@cyburban.com","32 Massitoa Rd.","EASTCHESTER","NY","10709","9147795467","null","8661","Religious organizations","steugene.com"
"231385","E","Education Fund for Great Buffalo Schools","carsidita@aol.com","712 Main St","BUFFALO","NY","14201","7168438895","null","8211","Schools","GREATBUFFALOSCHOOLS.COM^^GREATBUFFALOSCHOOLS.ORG"
"231386","C","Catoh-Hayward Baker","daelliott@haywardbaker.com","16 Drumlin Dr","Weedsport","NY","13166-3200","8138843820","3158346603","178102","Drilling & Boring Contractors","www.haywardbaker.com"
"231387","J","Jeffrey Hutchison & Assoc","Hutchison-Jeffrey@jeffreyhutchison.com","435 Hudson St","New York","NY","10014-3941","NULL","2123661611","738902","Interior Decorators Design & Consultants","NULL"
"231388","S","SCS Engineers","gpetoyan@scsfieldservices.com","140 Route 303","Valley Cottage","NY","10989-1923","7075445769","8453535727","871120","Engineers-Environmental","www.scsengineers.com"
"231389","H","Homer Town Clerk''s Office","tamit@twcny.rr.com","31 N Main St","Homer","NY","13077-1153","6077493364","6077494581","912104","Government Offices-City, Village & Twp","Village & Twp"
"231390","J","Janice Snyder Realty Inc","rskinner@janicesnyderrealty.com","120 Sheldon Avenue","Oswego","NY","13126","3153436666","null","6531","Real Estate","null"
"231391","B","Bright Horizons Children''s Ctr","ir@brighthorizons.com","77 Executive Blvd","Elmsford","NY","10523-1327","3092439463","9145922890","835101","Child Care Service","www.brighthorizons.com"
"231392","E","Elektron Books","msullivan@marksullivanassociates.com","521 Fifth Avenue  17th Floor","NEW YORK","NY","10174","null","2123662044","594201","Book Dealers","ELEKTRONBOOKS.COM"
"231393","S","St Saviour High School","ddiercks@courts.state.ny.us","588 6th St","Brooklyn","NY","11215-3702","7183692688","7187684406","821103","Schools","www.stsaviour.org"
"231394","B","Bueno; Crystal","clevy-bueno@dtcc.com","55 Water Street","NEW YORK","NY","10041","2128555471","null","738999","Business Services Nec","EUROCCP.NET^^EUROCCP.ORG"
"231395","C","Cruise-world.com","flocicero@aol.com","73-3b richmond blvd","ROCKY POINT","NY","11778","5167389441","7185187537","4724","Travel agents","MYCRUISEWORLD.COM"
"231396","A","A & E Television Network","gtolchinsky@finlatin.com","235 East 45th Street","NEW YORK","NY","10016","6462542838","null","737904","Computers","ACCESOFIN.COM^^FINACCES.COM^^INVERACCESS.COM^^MIDINEROONLINE.COM"
"231397","E","Einuis & Haberkorn Agency Inc","fijisticks@aol.com","9395AshburtonAve","MEDFORD","NY","11763","5166974480","5169222440","641198","Insurance Agents Brokers & Service","MILLNECKADVISORS.COM^^MILLNECKCAPITAL.COM"
"231398","M","Miller-Druck Specialty Contracting","sarahtaylor@millerdruck.com","3940 BROADWAY","NEW YORK","NY","10013","2123433300","2123433307","152103","General Contractors","domesticmarble.com"
